ID,Problem,Root Cause / Design Mechanism,Evidence Snapshot,Most Affected,Existing Approaches,Why Current Approaches Fall Short,Chrysalis Product Opportunity,Success Metrics,Evidence Strength (1-5),Severity (1-5),Product Leverage (1-5),Complexity (1-5),Priority Score,Priority Tier,Risks / Tradeoffs,Research URLs
1,Compulsive use and loss of control,"Engagement-optimized ranking, intermittent rewards, endless feeds, autoplay, streaks, and notifications reduce natural stopping cues.","Problematic—not merely frequent—social-media use shows the clearest association with depression, anxiety, stress, and poor sleep. Restriction studies show mixed outcomes because users may substitute other apps or digital activities.","Adolescents; users with anxiety, depression, loneliness, attention difficulties, or high fear of missing out.","Screen-time dashboards, app timers, notification controls, digital detoxes, and parental controls.","They rely heavily on willpower, can be bypassed, and treat all time equally. Total time does not distinguish meaningful connection from passive or harmful use.","Add a session-intention prompt, finite feed batches, optional hard stops, no autoplay by default, notification bundling, a “Was this session worth it?” check-out, and adaptive breaks based on user experience rather than only raw minutes.",Unplanned session rate; sessions exceeding intended duration; user-reported control; percentage of sessions rated worthwhile; late-night opens.,5,5,5,3,4.7,Tier 1,Too much friction may reduce legitimate connection or feel paternalistic. Controls must be user-configurable and transparent.,"https://pubmed.ncbi.nlm.nih.gov/35436240/
https://pubmed.ncbi.nlm.nih.gov/36001541/
https://pubmed.ncbi.nlm.nih.gov/39853856/"
2,Sleep disruption and bedtime displacement,"Nighttime checking, alerts, emotional arousal, social pressure to respond, and endless content delay bedtime and interrupt sleep.","Multiple systematic and umbrella reviews find a small but consistent negative relationship between social-media or digital-media use and sleep, with stronger effects for problematic and late-night use.","Teens and young adults; users with irregular schedules, anxiety, or high nighttime notification volume.","Do Not Disturb, bedtime modes, blue-light filters, and device curfews.",Blue-light reduction does not address emotional arousal or social obligation. Generic device limits may be ignored or disable important communication.,"Create a sleep-aware mode, quiet defaults for minors, scheduled message delivery, a reduced-stimulation nighttime feed, friend-group quiet-hour agreements, and a visible “reply tomorrow” status.",Opens during sleep window; notification interruptions; self-reported bedtime delay; sleep-window adherence; next-day fatigue pulse.,5,5,5,2,4.85,Tier 1,Emergency or family communication must remain available. Do not infer or diagnose medical sleep conditions.,"https://pubmed.ncbi.nlm.nih.gov/39242043/
https://pubmed.ncbi.nlm.nih.gov/41597059/
[link removed]"
3,"Social comparison, body dissatisfaction, and appearance pressure","Highly visual feeds, edited images, beauty filters, popularity cues, and appearance-focused recommendations distort perceived norms and encourage upward comparison.",Systematic reviews find strong associations between appearance-related social-media activity and negative body image. Specific behaviors and content exposure predict harm better than total time.,"Adolescent girls are frequently highlighted, but harms also affect boys, LGBTQ+ youth, athletes, and users vulnerable to disordered eating.","Hidden like counts, media-literacy campaigns, body-positive content, and labels on edited images.",Body-positive content can still keep attention centered on appearance. Labels alone may not undo comparison or repeated exposure.,"Hide public counts by default, reduce repetitive appearance-based recommendations, label filters transparently, add a “not about appearance” feed control, audit body representation, and replace public ranking with private appreciation.",Appearance-content concentration; comparison or distress pulse; public-metric exposure; content diversity; blocks or mutes following appearance content.,5,5,5,3,4.7,Tier 1,"Automated systems may misclassify fitness, fashion, health, or identity content. Preserve self-expression and creator agency.","https://pubmed.ncbi.nlm.nih.gov/34801229/
https://pubmed.ncbi.nlm.nih.gov/39721448/
https://pubmed.ncbi.nlm.nih.gov/41661648/"
4,"Cyberbullying, pile-ons, and harassment","Persistent visibility, anonymity, rapid resharing, group dynamics, quote-posting, and low-cost aggression increase the reach and duration of abuse.","Systematic reviews and longitudinal meta-analyses associate cyberbullying victimization with later mental-health symptoms, although effect sizes and causality vary.",Youth; girls; LGBTQ+ users; racial and religious minorities; disabled users; and public-facing creators.,"Blocking, reporting, comment filters, keyword controls, automated moderation, and temporary bans.","Reporting usually occurs after harm. Victims must perform much of the safety labor, context is often lost, and coordinated attacks can evade single-post moderation.","Add reply-risk prompts, rate limits during pile-ons, recipient-controlled quote-posting, bystander intervention tools, coordinated-harassment detection, rapid safety mode, and transparent appeal evidence.",Repeat-offender rate; pile-on velocity; victim response time; harmful-reply exposure; appeal resolution quality; outcomes after safety-mode activation.,5,5,4,4,4.3,Tier 1,"Risks include overblocking, language or cultural bias, and weaponized reporting. Severe enforcement decisions should receive human review.","https://pubmed.ncbi.nlm.nih.gov/39828926/
https://pubmed.ncbi.nlm.nih.gov/31977251/
https://www.nationalacademies.org/publications/27396"
5,Harmful-content spirals and vulnerable-user rabbit holes,"Behavioral personalization can repeatedly surface self-harm, disordered-eating, hate, dangerous-challenge, or distressing content after brief engagement.",Public-health and consensus reports identify harmful-content exposure and algorithmic distortion as meaningful risks while emphasizing that effects differ across users and contexts.,"Youth and users already experiencing distress, isolation, eating concerns, or identity-based targeting.","Content removal, crisis-resource banners, age gates, keyword intervention pages, and downranking.","Reactive moderation is inconsistent. Binary removal misses borderline content, and crisis banners can become repetitive or easy to dismiss.","Use sensitive-topic circuit breakers, a diversified recovery feed, user-controlled topic cooling, supportive resource handoffs, escalation to trained human review, and no engagement optimization for high-risk categories.",Consecutive sensitive-topic exposures; recovery-feed acceptance; harmful-content prevalence; recurrence after “show less”; resource engagement.,4,5,4,4,4,Tier 2,"False positives, privacy concerns, and accidental suppression of recovery communities. Do not diagnose users.","https://www.hhs.gov/surgeongeneral/reports-and-publications/youth-mental-health/social-media/index.html
https://www.ncbi.nlm.nih.gov/books/NBK603435/
[link removed]"
6,Misinformation and low-quality sharing,"Sharing is fast and socially rewarded. Attention is drawn to novelty, identity, and emotion rather than accuracy, and repetition increases familiarity.","Experiments and meta-analysis show that simple accuracy prompts improve sharing discernment, mainly by reducing intended sharing of false headlines. Community fact-checking can reduce diffusion after notes appear.","All users, especially during elections, crises, health events, and fast-breaking news.","Fact-check labels, downranking, account strikes, media literacy, and community notes.","Corrections are often late, labels can become politicized, centralized fact-checking does not scale to every claim, and friction can also suppress true information.","Add context-before-share cards, source provenance, read-before-repost prompts, accuracy prompts for high-velocity claims, community context with viewpoint diversity, uncertainty labels, and citation-friendly posting.",False-to-true sharing discernment; reshares without opening; time-to-context; correction reach; source diversity; user trust in context notes.,5,4,5,3,4.4,Tier 1,"Avoid positioning the platform as a universal arbiter of truth. Distinguish factual claims, opinions, satire, and evolving information.","https://www.nature.com/articles/s41467-022-30073-5
https://www.nature.com/articles/s41562-024-01881-0
https://www.nature.com/articles/s41467-026-72597-0"
7,Polarization and distorted perceptions of social norms,"Engagement ranking disproportionately rewards moralized, emotional, and intergroup content, making extreme attitudes seem more common than they are.",Experimental research suggests redesigned feeds can reduce polarizing exposure and improve perceptions of social norms without necessarily reducing enjoyment. Other platform studies show political effects are not uniform.,"Civic users, communities discussing politics or identity, and users with little exposure to cross-cutting views.","Chronological feeds, downranking inflammatory content, political-content controls, and diverse recommendations.",Forced “both sides” exposure can be unpleasant or legitimize fringe claims. Political balance is difficult to define.,"Use representative-not-extreme ranking, source and viewpoint diversity controls, norm-correction cards, separate “understand” and “debate” modes, and remove engagement multipliers for outrage.",Intergroup or moral-emotional content exposure; perceived norm accuracy; cross-group hostility; source concentration; enjoyment and session-quality measures.,4,4,4,4,3.7,Tier 2,Political neutrality claims require independent auditing. Diversity must not become false equivalence.,"https://www.nature.com/articles/s41586-026-10536-1
https://www.nature.com/articles/d41586-026-01636-z
https://www.nature.com/articles/s41586-026-10447-1"
8,Privacy loss and commercial surveillance,"Platforms collect extensive behavioral, device, location, social-graph, and inferred data to target content and advertising.","The FTC’s 2024 staff report found broad surveillance practices, weak data minimization, and inadequate safeguards for children and teens among major platforms.","All users, with heightened risks for minors, abuse survivors, activists, and users with sensitive health or identity information.","Privacy settings, consent banners, ad controls, account deletion, and youth modes.","Controls are fragmented and difficult to understand. Opt-outs can be incomplete, and inferred information is often invisible.","Use a data-minimal business model, prohibit behavioral ads to minors, perform personalization on-device where possible, provide a plain-language data ledger, allow one-tap recommendation resets, use expiration defaults, and make youth accounts private by default.",Data fields collected per user; retention duration; percentage of on-device processing; privacy-setting comprehension; deletion completion time.,5,5,5,3,4.7,Tier 1,Strong privacy practices may constrain advertising revenue and recommendation performance. Claims should be technically verified and independently audited.,"https://www.ftc.gov/news-events/news/press-releases/2024/09/ftc-staff-report-finds-large-social-media-video-streaming-companies-have-engaged-vast-surveillance
https://www.unicef.org/innocenti/reports/childrens-best-interests-digital-policy-and-practice"
9,"Blurred advertising, influencer persuasion, and consumer manipulation","Native ads, sponsorships, affiliate links, parasocial trust, and personalized targeting blur the line between authentic expression and commercial persuasion.","FTC guidance warns that children have difficulty distinguishing advertising from content and that disclosures alone may be insufficient, especially for younger users.","Children and teens; financially vulnerable users; followers of lifestyle, beauty, gaming, or health creators.","Paid-partnership labels, ad libraries, influencer disclosure rules, and parental controls.","Labels are inconsistent, small, or easy to ignore. Commercial incentives can exist even when a post is not formally classified as paid advertising.","Visually separate ads from social content, use persistent sponsorship labels, provide creator incentive transparency, prohibit microtargeting to minors, explain “Why am I seeing this?”, and offer an ad-free youth experience.",Ad-recognition accuracy; undisclosed sponsorship reports; youth advertising exposure; ad-dismissal reasons; consumer complaint rates.,4,4,4,3,3.85,Tier 2,"Creator monetization may decline. Definitions must cover gifts, affiliate links, sponsorships, and platform-funded boosts.","https://www.ftc.gov/news-events/news/press-releases/2023/09/ftc-staff-paper-details-potential-harms-kids-blurred-advertising-recommends-marketers-steer-clear
https://www.ftc.gov/news-events/news/press-releases/2020/07/ftc-sends-report-congress-social-media-bots-deceptive-advertising"
10,Algorithmic bias and unequal visibility,"Biased training data, popularity feedback loops, uneven moderation, demographic underrepresentation, and opaque optimization can distort who is seen, recommended, or sanctioned.","Research documents inequity in ranking systems, stronger bias in online images than text, and asymmetries in recommendation exposure. Mechanisms vary by platform.","Women, racial and ethnic minorities, older users, smaller creators, non-English speakers, and politically underrepresented groups.","Fairness testing, representative training data, policy audits, creator appeals, and demographic parity metrics.","Fairness metrics can conflict, demographic information is sensitive, and bias can emerge from both algorithms and the available content pool.","Conduct independent recommender audits, build visibility-parity diagnostics, create multilingual moderation benchmarks, allow users to select ranking goals, reserve exploration space for smaller creators, and improve appeal transparency.",Recommendation quality by group; exposure inequality; moderation errors by language or group; creator-reach concentration; percentage of audit findings resolved.,4,4,4,5,3.55,Tier 3,"Collecting demographic attributes can create privacy risks. Fairness goals must be explicit, transparent, and open to challenge.","https://www.nature.com/articles/s41598-022-05434-1
https://www.nature.com/articles/s41586-024-07068-x
https://www.ftc.gov/news-events/news/press-releases/2022/06/ftc-report-warns-about-using-artificial-intelligence-combat-online-problems"
