Source ID,Topic,Title,Publisher / Journal,Year,Evidence Type,Key Takeaway,URL,Problems Connected To,Notes / Limitations
S1,Compulsive use,Needs verification,Needs verification,Needs verification,Needs verification,Needs verification,https://pubmed.ncbi.nlm.nih.gov/35436240/,1,Needs verification
S2,Compulsive use,Needs verification,Needs verification,Needs verification,Needs verification,Needs verification,https://pubmed.ncbi.nlm.nih.gov/36001541/,1,Needs verification
S3,Compulsive use,Needs verification,Needs verification,Needs verification,Needs verification,Needs verification,https://pubmed.ncbi.nlm.nih.gov/39853856/,1,Needs verification
S4,Sleep disruption,Needs verification,Needs verification,Needs verification,Needs verification,Needs verification,https://pubmed.ncbi.nlm.nih.gov/39242043/,2,Needs verification
S5,Sleep disruption,Needs verification,Needs verification,Needs verification,Needs verification,Needs verification,https://pubmed.ncbi.nlm.nih.gov/41597059/,2,Needs verification
S6,Sleep disruption,Needs verification,Needs verification,Needs verification,Needs verification,Needs verification,[link removed],2,Needs verification
S7,Social comparison,Investigating the relationship between social media use and body image among adolescents: A systematic review,Encephale,2021,Systematic review,A robust association exists between the frequency of social networking site use and negative body image among both females and males.,https://pubmed.ncbi.nlm.nih.gov/34801229/,"3, 11",Needs verification
S8,Social comparison,Needs verification,Needs verification,Needs verification,Needs verification,Needs verification,https://pubmed.ncbi.nlm.nih.gov/39721448/,3,Needs verification
S9,Social comparison,Needs verification,Needs verification,Needs verification,Needs verification,Needs verification,https://pubmed.ncbi.nlm.nih.gov/41661648/,3,Needs verification
S10,Cyberbullying,Needs verification,Needs verification,Needs verification,Needs verification,Needs verification,https://pubmed.ncbi.nlm.nih.gov/39828926/,4,Needs verification
S11,Cyberbullying,Needs verification,Needs verification,Needs verification,Needs verification,Needs verification,https://pubmed.ncbi.nlm.nih.gov/31977251/,4,Needs verification
S12,Cyberbullying / Autonomy / Moderation,Social Media and Adolescent Health,National Academies of Sciences Engineering and Medicine,2024,Consensus report,Social media is fully integrated into adolescents' lives and raises concerns about mental and physical health effects.,https://www.nationalacademies.org/publications/27396,"4, 14, 15",Needs verification
S13,Harmful content / Exploitation,Social Media and Youth Mental Health: The U.S. Surgeon General's Advisory,HHS,2023,Consensus report,Social media has both positive and negative impacts on youth mental health and action is needed to protect youth.,https://www.hhs.gov/surgeongeneral/reports-and-publications/youth-mental-health/social-media/index.html,"5, 13",Needs verification
S14,Harmful content,Social Media and Adolescent Health,National Academies Press (US),2024,Consensus report,Recommends steps for policymakers and industry to maximize the good and minimize the bad of social media for adolescents.,https://www.ncbi.nlm.nih.gov/books/NBK603435/,5,Needs verification
S15,Harmful content,Needs verification,AAP,Needs verification,Policy guidance,Needs verification,[link removed],5,Needs verification
S16,Misinformation,Needs verification,Needs verification,Needs verification,Needs verification,Needs verification,https://www.nature.com/articles/s41467-022-30073-5,6,Needs verification
S17,Misinformation,Needs verification,Needs verification,Needs verification,Needs verification,Needs verification,https://www.nature.com/articles/s41562-024-01881-0,6,Needs verification
S18,Misinformation,Needs verification,Needs verification,Needs verification,Needs verification,Needs verification,https://www.nature.com/articles/s41467-026-72597-0,6,Needs verification
S19,Polarization,Needs verification,Needs verification,Needs verification,Needs verification,Needs verification,https://www.nature.com/articles/s41586-026-10536-1,7,Needs verification
S20,Polarization,Needs verification,Needs verification,Needs verification,Needs verification,Needs verification,https://www.nature.com/articles/d41586-026-01636-z,7,Needs verification
S21,Polarization,Needs verification,Needs verification,Needs verification,Needs verification,Needs verification,https://www.nature.com/articles/s41586-026-10447-1,7,Needs verification
S22,Privacy loss,FTC Staff Report Finds Large Social Media and Video Streaming Companies Have Engaged in Vast Surveillance,FTC,2024,Government report,Major platforms have broad surveillance practices and inadequate safeguards for children.,https://www.ftc.gov/news-events/news/press-releases/2024/09/ftc-staff-report-finds-large-social-media-video-streaming-companies-have-engaged-vast-surveillance,8,Needs verification
S23,Privacy / Exploitation / Moderation,Children's Best Interests in Digital Policy and Practice,UNICEF Innocenti,2026,Consensus report,Digital spaces offer opportunities but are not consistently safe or fair; policies must be designed with children.,https://www.unicef.org/innocenti/reports/childrens-best-interests-digital-policy-and-practice,"8, 13, 15",Needs verification
S24,Blurred advertising,FTC Staff Paper Details Potential Harms to Kids from Blurred Advertising,FTC,2023,Government report,Children have difficulty distinguishing advertising from content and disclosures alone are insufficient.,https://www.ftc.gov/news-events/news/press-releases/2023/09/ftc-staff-paper-details-potential-harms-kids-blurred-advertising-recommends-marketers-steer-clear,9,Needs verification
S25,Blurred advertising,FTC Sends Report to Congress on Social Media Bots and Deceptive Advertising,FTC,2020,Government report,Needs verification,https://www.ftc.gov/news-events/news/press-releases/2020/07/ftc-sends-report-congress-social-media-bots-deceptive-advertising,9,Needs verification
S26,Algorithmic bias,Needs verification,Needs verification,Needs verification,Needs verification,Needs verification,https://www.nature.com/articles/s41598-022-05434-1,10,Needs verification
S27,Algorithmic bias,Needs verification,Needs verification,Needs verification,Needs verification,Needs verification,https://www.nature.com/articles/s41586-024-07068-x,10,Needs verification
S28,Algorithmic bias / Moderation,FTC Report Warns About Using Artificial Intelligence to Combat Online Problems,FTC,2022,Government report,"AI moderation can be inaccurate, biased, and overly dependent on surveillance.",https://www.ftc.gov/news-events/news/press-releases/2022/06/ftc-report-warns-about-using-artificial-intelligence-combat-online-problems,"10, 15",Needs verification
S29,Public metrics,A Systematic Review of Social Media Use and Adolescent Identity Development,Adolesc Res Rev,2024,Systematic review,Active participation rather than time spent correlates with more identity exploration.,https://pubmed.ncbi.nlm.nih.gov/40385471/,11,Needs verification
S30,Public metrics,The Good and Bad of Social Media: What Research Tells Us,AAP,Needs verification,Policy guidance,Outlines both potential benefits and risks of social media for teens.,https://www.aap.org/en/patient-care/media-and-children/center-of-excellence-on-social-media-and-youth-mental-health/the-good-and-bad-of-social-media-what-research-tells-us/,11,Needs verification
S31,Passive consumption,Needs verification,Needs verification,Needs verification,Needs verification,Needs verification,https://pubmed.ncbi.nlm.nih.gov/39509203/,12,Needs verification
S32,Passive consumption,Needs verification,Needs verification,Needs verification,Needs verification,Needs verification,https://pubmed.ncbi.nlm.nih.gov/40823382/,12,Needs verification
S33,Passive consumption,Needs verification,Needs verification,Needs verification,Needs verification,Needs verification,https://www.nature.com/articles/s41598-024-81665-8,12,Needs verification
S34,Exploitation,Child Safety Online,UNICEF,Needs verification,Policy guidance,Needs verification,https://www.unicef.org/documents/child-safety-online,13,Needs verification
S35,Opaque feeds,Needs verification,Needs verification,Needs verification,Needs verification,Needs verification,https://www.nature.com/articles/s41598-023-34192-x,14,Needs verification
S36,Opaque feeds,Navigating Social Media: A Teen Wellness Toolkit,AAP,Needs verification,Policy guidance,Toolkit designed to help youth navigate social media and mental health.,https://www.aap.org/en/patient-care/media-and-children/center-of-excellence-on-social-media-and-youth-mental-health/social-media-wellness-toolkit/,14,Needs verification
